Objection,Rebuttal
I don’t really drive the car that much anymore.,"Totally understand—this coverage protects when something goes wrong, not how often you drive. Your odds don’t reset with low miles."
"Totally understand” builds rapport Education: It re-frames the logic — protection is about risk, not frequency Challenge: “Your odds don’t reset with low miles” is a direct pattern interrupt that sticks “Can you just send me an email? I want to look it over.","Of course—but real quick, let’s go over it together now so you know exactly what to look for when you open it."
"I’ve already got coverage.” Perfect—so you already see the value in having protection. This just ensures you’re not overpaying for less coverage."" ✅ Positioning: Frames them as smart (positive reinforcement) ✅ Reframes: Now we’re not selling, we’re optimizing ✅ Challenger logic: Overpaying for less? That stings and opens the door for a compare/contrast This is textbook Challenger with a consultative twist — builds trust and makes them curious. “It just costs too much right now.","I hear you—and that’s exactly why most folks lock it in now, before the price jumps again or a repair wipes out their savings."
"I hear you” = empathy) ✅ Flips urgency on its head — “It’s too much” becomes the reason to act now ✅ Creates fear of inaction: price hike or repair = both cost way more This is classic Challenger + NLP pressure relief valve: → You’re not pushing, you’re protecting. → You’ve reframed “price” as the danger zone, not the solution. “I haven’t even bought the car yet—I’m just seeing what it would cost.",Smart thinking—most folks wait until after and lose the better rates. You’re ahead of the curve right now.
"most people” lose by waiting ✅ Positioning: Frames now as the optimal time to buy, not “too early” It’s a great rapport-builder and a smooth setup for moving into the close — especially when paired with a soft question like: “If the numbers make sense now, would you want to lock it in before they change?” “Can I call you back later?","Sure—but in my experience, ‘later’ usually turns into ‘never’ once that check engine light comes on. Let’s at least finish this part."
Let me think about it.,"Of course—just curious, what part needs more thinking: the price, the coverage, or if your car's even worth protecting?"
"Of course” = softens the entry) ✅ Challenger reframe — forces them to label the objection, so you can isolate and destroy it ✅ Implies absurdity — “Is your car even worth protecting?” plants the idea that not doing this is irrational This is a power play in disguise — you stay polite while regaining control. “I need to talk to my wife about it.","Of course—quick question: if she says yes, are you all in? And if she says no, what do you think she’d say it about?"
"If she says yes, are you all in?” — this isolates the real decision-maker ✅ Future pacing: It makes them imagine her saying yes or no ✅ Objection mining: The second question pulls the real objection into the open (money? trust? need?) This is the judo move of sales — you let them talk, but you control the direction. I’ll do it later—maybe next month when I’ve got more money.",Totally understand—but these prices don’t wait for budgets to catch up. Let’s see what we can do to bridge the gap.
Let’s see what we can do…” keeps them engaged instead of ending the convo It subtly shifts the energy from delay to solution — and that’s how you win. “I need to sleep on it.,"Totally fair—if you wake up tomorrow and the price’s gone up or your car breaks down, what would you do?"
A” is the heavyweight here. 🔍 Why it's the best: ✅ Empathy + subtle fear of loss ✅ It gently makes the customer visualize the cost of waiting ✅ It challenges without attacking — a Challenger ninja move This is a perfect urgency reframe. It keeps them in the conversation without pushing too hard. “I’m not ready to make a decision yet.,"Got it—quick question, what do you feel is missing from the picture that’s stopping you?"
Can you send me something to look at?,"Sure thing—just so I don’t waste your time twice, let’s go over the important parts now so the email actually makes sense."
waste your time twice” triggers a double-take ✅ Establishes the value of the call before they disengage It makes them realize that the email is useless without the walkthrough — brilliant control disguised as help. “I already have coverage through my dealership.,That’s a good start—most dealership plans end early and don’t include a lot of the stuff that actually breaks. Mind if we compare real quick?
I don’t drive the car that much.,"Totally fair—but coverage protects when something breaks, not how often you drive. Your odds don’t reset with low mileage."
Totally fair” lowers resistance ✅ Logical reframe: separates usage from risk ✅ NLP pattern interrupt: “your odds don’t reset” is a sticky truth that makes them pause This is elite-level objection handling — it reprograms how they view the whole risk model. “I’m not interested.,Totally fine—I wouldn’t be either without knowing what this actually covers. Mind if I show you real quick?
I wouldn’t be either…” lowers resistance instantly ✅ Gives them a reason to stay — implies they don’t have enough info yet ✅ Soft permission close — “Mind if I show you real quick?” keeps control while making it feel optional This is a gentle redirect that keeps you in the driver’s seat without making them feel sold — perfect for early resistance. “I don’t need this—I’ve never had a breakdown.,Totally makes sense—and most folks haven’t… until they do. One repair changes the whole math.
"makes sense” builds rapport ✅ Reality check: “until they do” triggers future risk thinking ✅ Cost anchor: “One repair changes the whole math” taps into the real pain = unexpected cost This is the kind of line that quietly hits hard — no push, no fluff, just truth. “I’m just looking—I’m not ready to buy anything.",Perfect—you’ll know a smart move when you see one. Let’s walk through what smart actually looks like today.
looking” with high-status energy ✅ Reframes “just looking” as not enough ✅ Drives momentum without sounding pushy This is a Challenger power play — you validate and redirect with authority. “I just want to know the price.,Of course—but price without coverage is like a menu with no food. Let’s make sure it even fits what you need first.
